Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
0,1629407631245,33.5
1,1629407631430,32.75
2,1629407631632,33.5
3,1629407631832,33.75
4,1629407632032,33.25
5,1629407632234,33.5
6,1629407632434,33.5
7,1629407632636,33.5
8,1629407632836,33.5
9,1629407633038,33.25
10,1629407633236,33.0
11,1629407633438,33.0
12,1629407633638,32.75
13,1629407633839,33.5
14,1629407634040,33.25
15,1629407634240,33.5
16,1629407634441,33.25
17,1629407634642,33.0
18,1629407634844,33.5
19,1629407635044,33.75
20,1629407635244,33.5
21,1629407635444,33.0
22,1629407635647,33.25
23,1629407635847,33.5
24,1629407636047,33.0
25,1629407636248,33.0
26,1629407636448,33.25
27,1629407636650,33.0
28,1629407636851,33.25
29,1629407637051,33.0
30,1629407637251,33.5
31,1629407637453,33.25
32,1629407637653,33.25
33,1629407637854,32.5
34,1629407638056,33.25
35,1629407638256,33.25
36,1629407638456,32.75
37,1629407638657,33.0
38,1629407638856,33.25
39,1629407639058,33.5
40,1629407639259,33.25
41,1629407639460,33.5
42,1629407639661,33.5
43,1629407639862,33.0
44,1629407640062,33.25
45,1629407640261,33.25
46,1629407640465,32.75
47,1629407640663,33.25
48,1629407640865,33.25
49,1629407641064,33.5
50,1629407641266,33.5
51,1629407641466,33.25
52,1629407641667,33.0
53,1629407641867,33.5
54,1629407642069,33.25
55,1629407642269,33.5
56,1629407642473,33.25
57,1629407642675,33.5
58,1629407642876,33.25
59,1629407643076,32.75
60,1629407643276,33.0
61,1629407643479,33.5
62,1629407643679,33.25
63,1629407643879,33.25
64,1629407644079,33.25
65,1629407644282,33.25
66,1629407644482,33.25
67,1629407644683,33.5
68,1629407644883,33.0
69,1629407645084,33.25
70,1629407645284,33.25
71,1629407645487,33.25
72,1629407645685,33.25
73,1629407645886,33.5
74,1629407646088,33.25
75,1629407646288,33.25
76,1629407646490,32.75
77,1629407646690,33.25
78,1629407646891,33.25
79,1629407647093,33.25
80,1629407647292,33.25
81,1629407647492,33.0
82,1629407647693,32.75
83,1629407647893,33.0
84,1629407648094,32.5
85,1629407648297,33.25
86,1629407648496,32.75
87,1629407648697,33.0
88,1629407648899,32.75
