Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
262,1629405787933,33.0
263,1629405788134,33.25
264,1629405788335,33.0
265,1629405788534,32.75
266,1629405788735,33.0
267,1629405788937,33.0
268,1629405789138,33.0
269,1629405789337,33.0
270,1629405789540,32.75
271,1629405789739,32.75
272,1629405789941,33.25
273,1629405790140,33.25
274,1629405790340,33.0
275,1629405790543,32.75
276,1629405790743,33.0
277,1629405790945,33.0
278,1629405791143,33.0
279,1629405791347,33.0
280,1629405791546,33.0
281,1629405791747,33.0
282,1629405791947,33.0
283,1629405792149,33.0
284,1629405792349,33.0
285,1629405792550,32.5
286,1629405792750,33.0
287,1629405792950,32.75
288,1629405793151,32.75
289,1629405793352,33.25
290,1629405793553,32.5
291,1629405793755,32.75
292,1629405793955,33.0
293,1629405794154,33.25
294,1629405794360,33.0
295,1629405794561,32.75
296,1629405794761,33.0
297,1629405794961,32.5
298,1629405795163,32.5
299,1629405795364,32.5
300,1629405795564,32.75
301,1629405795764,32.75
302,1629405795965,33.0
303,1629405796168,33.0
304,1629405796366,32.75
305,1629405796567,32.5
306,1629405796770,33.25
307,1629405796969,32.75
308,1629405797169,32.5
309,1629405797371,32.75
310,1629405797571,32.75
311,1629405797771,33.0
312,1629405797973,33.0
313,1629405798173,33.0
314,1629405798375,32.75
315,1629405798575,32.75
316,1629405798775,33.0
317,1629405798976,32.5
318,1629405799177,33.25
319,1629405799379,32.5
320,1629405799580,32.75
321,1629405799780,32.5
322,1629405799981,33.0
323,1629405800180,32.75
324,1629405800383,33.0
325,1629405800582,32.5
326,1629405800783,33.0
327,1629405800984,33.0
328,1629405801184,32.75
329,1629405801387,33.25
330,1629405801585,33.0
331,1629405801786,32.75
332,1629405801988,33.0
333,1629405802188,32.25
334,1629405802388,33.0
335,1629405802589,33.0
336,1629405802791,32.75
337,1629405802990,33.0
338,1629405803192,33.0
339,1629405803391,33.0
340,1629405803593,32.5
341,1629405803793,33.0
342,1629405803995,32.75
343,1629405804194,32.5
344,1629405804397,32.75
345,1629405804596,31.75
346,1629405804797,32.5
347,1629405804998,32.25
348,1629405805198,32.75
349,1629405805400,32.5
350,1629405805600,32.75
351,1629405805800,33.0
352,1629405806002,32.0
353,1629405806203,33.0
354,1629405806402,33.0
355,1629405806603,33.25
356,1629405806805,32.75
357,1629405807005,32.75
358,1629405807205,33.0
359,1629405807406,33.0
360,1629405807606,32.5
361,1629405807814,33.0
362,1629405808013,32.75
363,1629405808214,33.0
364,1629405808414,33.0
365,1629405808616,32.75
366,1629405808816,32.5
367,1629405809018,32.0
368,1629405809216,32.25
369,1629405809418,33.0
370,1629405809619,32.75
371,1629405809820,32.5
372,1629405810021,33.0
373,1629405810221,32.75
374,1629405810421,32.75
375,1629405810623,32.75
376,1629405810822,33.0
377,1629405811023,32.5
378,1629405811225,33.25
379,1629405811425,32.75
380,1629405811626,33.0
381,1629405811826,32.75
382,1629405812027,32.5
383,1629405812228,32.75
384,1629405812430,33.0
385,1629405812629,32.5
386,1629405812829,32.25
387,1629405813031,33.0
388,1629405813231,32.75
389,1629405813432,32.5
390,1629405813632,32.5
391,1629405813834,32.75
392,1629405814033,33.0
393,1629405814235,32.75
394,1629405814435,32.25
395,1629405814636,32.75
396,1629405814836,32.0
397,1629405815039,33.0
398,1629405815238,33.0
399,1629405815439,32.0
400,1629405815639,32.25
401,1629405815842,32.75
402,1629405816041,32.75
403,1629405816242,32.5
404,1629405816443,33.0
405,1629405816643,33.0
406,1629405816844,32.75
407,1629405889867,32.25
408,1629405890066,32.0
409,1629405890267,31.75
410,1629405890468,32.5
411,1629405890669,31.75
412,1629405890869,32.25
413,1629405891070,32.0
414,1629405891269,32.0
415,1629405891470,31.75
416,1629405891675,31.5
417,1629405891877,32.25
418,1629405892078,32.0
419,1629405892279,32.0
420,1629405892479,31.75
421,1629405892679,31.75
422,1629405892880,32.25
423,1629405893081,32.5
424,1629405893281,32.0
425,1629405893483,32.0
426,1629405893683,31.75
427,1629405893884,32.25
428,1629405894084,31.75
429,1629405894286,31.75
430,1629405894486,32.25
431,1629405894686,32.0
432,1629405894887,31.5
433,1629405895087,32.25
434,1629405895289,32.25
435,1629405895489,32.5
436,1629405895690,32.25
437,1629405895891,31.75
438,1629405896092,31.75
439,1629405896292,32.25
440,1629405896493,32.25
441,1629405896693,31.0
442,1629405896894,31.75
443,1629405897096,32.5
444,1629405897296,31.25
445,1629405897496,31.75
446,1629405897698,31.25
447,1629405897899,31.75
448,1629405898098,32.0
449,1629405898300,32.0
450,1629405898500,32.0
451,1629405898702,32.0
452,1629405898902,32.0
453,1629405899102,32.0
454,1629405899302,32.0
455,1629405899504,32.0
456,1629405899704,32.25
457,1629405899904,31.75
458,1629405900106,31.25
459,1629405900307,31.75
460,1629405900508,32.0
461,1629405900707,31.75
462,1629405900910,32.0
463,1629405901110,31.5
464,1629405901311,31.5
465,1629405901510,32.0
466,1629405901712,32.25
467,1629405901912,32.0
468,1629405902114,31.5
469,1629405902314,32.0
470,1629405902514,31.75
471,1629405902715,32.0
472,1629405902917,32.25
473,1629405903117,32.25
474,1629405903318,32.25
475,1629405903520,31.75
476,1629405903719,32.0
477,1629405903919,32.0
478,1629405904120,32.5
479,1629405904321,32.25
480,1629405904525,32.25
481,1629405904727,32.75
482,1629405904927,32.0
483,1629405905128,32.5
